"","Platform","year_of_activity","platform_sales","market_sales","start","ended","market_power"
"1","PS",10,727.39,2361.55,1994,2003,0.308013804492812
"2","PS4",4,278.07,1040.53,2013,2016,0.267238810990554
"3","PS2",12,1233.46,5760.45999999996,2000,2011,0.214125260829866
"4","PS3",11,949.35,4998.87999999996,2006,2016,0.189912540409053
"5","Wii",10,909.81,4927.94999999996,2006,2015,0.18462240891243
"6","X360",12,969.61,5458.81999999996,2005,2016,0.177622636393947
"7","SNES",10,200.05,1278.91,1990,1999,0.156422265835751
"8","DS",11,818.650000000001,5542.75999999996,2004,2014,0.147697176136078
"9","XOne",4,141.06,1040.53,2013,2016,0.13556552910536
"10","3DS",6,246.28,1920.05999999999,2011,2016,0.128266824995053
"11","N64",7,218.21,1836.42,1996,2002,0.118823580662376
"12","GB",11,188.01,1765.96,1990,2001,0.106463340053002
"13","GEN",5,28.36,282.93,1990,1994,0.100236807690948
"14","NES",5,27.55,282.93,1990,1994,0.0973739087406779
"15","GBA",8,313.56,3297.81999999998,2000,2007,0.0950809928983396
"16","GC",7,197.14,3096.25999999998,2001,2007,0.0636703635999565
"17","XB",9,252.09,3976.71999999997,2000,2008,0.0633914381701508
"18","WiiU",5,81.86,1404.06999999999,2012,2016,0.0583019365131371
"19","PSP",12,291.71,5807.19999999996,2004,2015,0.0502324700371956
"20","PSV",6,61.61,1920.05999999999,2011,2016,0.0320875389310752
"21","SAT",6,33.59,1075.15,1994,1999,0.0312421522578245
"22","PC",24,254.99,8315.83999999995,1992,2016,0.030663168122523
"23","SCD",2,1.87,125.15,1993,1994,0.0149420695165801
"24","DC",7,15.97,2726.31999999999,1998,2008,0.00585771296106109
"25","NG",4,1.44,412.41,1993,1996,0.00349167091001673
"26","TG16",1,0.16,88.1099999999999,1995,1995,0.00181591192827148
"27","WS",3,1.42,784.299999999999,1999,2001,0.00181053168430448
"28","3DO",2,0.1,167.28,1994,1995,0.000597800095648016
"29","GG",1,0.04,76.16,1992,1992,0.000525210084033614
"30","PCFX",1,0.03,199.15,1996,1996,0.000150640220938991
