Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Decade,Brand,isFIFA,isSuperMario,isGTA,isPokemon,isCOD,isNFS,FIFASales,MarioSales,GTASales,PokeSales,CODSales,NFSSales,NA_Mil_Sales,EU_Mil_Sales,JP_Mil_Sales,Other_Mil_Sales,Global_Mil_Sales,Genre_Filtered,NOT_NA_MIL
1,Wii Sports,Wii,2006,Sports,Nintendo,41.49,29.02,3.77,8.46,82.74,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,41490000,29020000,3770000,8460000,82740000,Sports,41250000
3,Mario Kart Wii,Wii,2008,Racing,Nintendo,15.85,12.88,3.79,3.31,35.82,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,15850000,12880000,3790000,3310000,35820000,Racing,19970000
4,Wii Sports Resort,Wii,2009,Sports,Nintendo,15.75,11.01,3.28,2.96,33,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,15750000,11010000,3280000,2960000,33000000,Sports,17250000
5,Pokemon Red/Pokemon Blue,GB,1996,Role-Playing,Nintendo,11.27,8.89,10.22,1,31.37,90s,Pokemon,0,0,0,1,0,0,0,0,0,31.37,0,0,11270000,8890000,10220000,1000000,31370000,Role-Playing,20100000
7,New Super Mario Bros.,DS,2006,Platform,Nintendo,11.38,9.23,6.5,2.9,30.01,00s,Super Mario,0,1,0,0,0,0,0,30.01,0,0,0,0,11380000,9230000,6500000,2900000,30010000,Platfrom,18630000
8,Wii Play,Wii,2006,Misc,Nintendo,14.03,9.2,2.93,2.85,29.02,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,14030000,9200000,2930000,2850000,29020000,Other,14990000
9,New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,14.59,7.06,4.7,2.26,28.62,00s,Super Mario,0,1,0,0,0,0,0,28.62,0,0,0,0,14590000,7060000,4700000,2260000,28620000,Platfrom,14030000
11,Nintendogs,DS,2005,Simulation,Nintendo,9.07,11,1.93,2.75,24.76,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,9070000,11000000,1930000,2750000,24760000,Other,15690000
12,Mario Kart DS,DS,2005,Racing,Nintendo,9.81,7.57,4.13,1.92,23.42,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,9810000,7570000,4130000,1920000,23420000,Racing,13610000
13,Pokemon Gold/Pokemon Silver,GB,1999,Role-Playing,Nintendo,9,6.18,7.2,0.71,23.1,90s,Pokemon,0,0,0,1,0,0,0,0,0,23.1,0,0,9000000,6180000,7200000,710000,23100000,Role-Playing,14100000
14,Wii Fit,Wii,2007,Sports,Nintendo,8.94,8.03,3.6,2.15,22.72,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,8940000,8030000,3600000,2150000,22720000,Sports,13780000
15,Wii Fit Plus,Wii,2009,Sports,Nintendo,9.09,8.59,2.53,1.79,22,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,9090000,8590000,2530000,1790000,22000000,Sports,12910000
16,Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,14.97,4.94,0.24,1.67,21.82,10s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,14970000,4940000,240000,1670000,21820000,Other,6850000
17,Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,7.01,9.27,0.97,4.14,21.4,10s,GTA,0,0,1,0,0,0,0,0,21.4,0,0,0,7010000,9270000,970000,4140000,21400000,Action,14390000
18,Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,9.43,0.4,0.41,10.57,20.81,00s,GTA,0,0,1,0,0,0,0,0,20.81,0,0,0,9430000,400000,410000,10570000,20810000,Action,11380000
19,Super Mario World,SNES,1990,Platform,Nintendo,12.78,3.75,3.54,0.55,20.61,90s,Super Mario,0,1,0,0,0,0,0,20.61,0,0,0,0,12780000,3750000,3540000,550000,20610000,Platfrom,7830000
20,Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,Nintendo,4.75,9.26,4.16,2.05,20.22,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,4750000,9260000,4160000,2050000,20220000,Other,15470000
21,Pokemon Diamond/Pokemon Pearl,DS,2006,Role-Playing,Nintendo,6.42,4.52,6.04,1.37,18.36,00s,Pokemon,0,0,0,1,0,0,0,0,0,18.36,0,0,6420000,4520000,6040000,1370000,18360000,Role-Playing,11940000
24,Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,9.63,5.31,0.06,1.38,16.38,10s,GTA,0,0,1,0,0,0,0,0,16.38,0,0,0,9630000,5310000,60000,1380000,16380000,Action,6750000
25,Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive,8.41,5.49,0.47,1.78,16.15,00s,GTA,0,0,1,0,0,0,0,0,16.15,0,0,0,8410000,5490000,470000,1780000,16150000,Action,7740000
26,Pokemon Ruby/Pokemon Sapphire,GBA,2002,Role-Playing,Nintendo,6.06,3.9,5.38,0.5,15.85,00s,Pokemon,0,0,0,1,0,0,0,0,0,15.85,0,0,6060000,3900000,5380000,500000,15850000,Role-Playing,9790000
27,Pokemon Black/Pokemon White,DS,2010,Role-Playing,Nintendo,5.57,3.28,5.65,0.82,15.32,10s,Pokemon,0,0,0,1,0,0,0,0,0,15.32,0,0,5570000,3280000,5650000,820000,15320000,Role-Playing,9750000
28,Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,Nintendo,3.44,5.36,5.32,1.18,15.3,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,3440000,5360000,5320000,1180000,15300000,Other,11860000
29,Gran Turismo 3: A-Spec,PS2,2001,Racing,Sony Computer Entertainment,6.85,5.09,1.87,1.16,14.98,00s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,6850000,5090000,1870000,1160000,14980000,Racing,8130000
30,Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision,9.03,4.28,0.13,1.32,14.76,10s,Call of Duty,0,0,0,0,1,0,0,0,0,0,14.76,0,9030000,4280000,130000,1320000,14760000,Shooter,5730000
31,Pok(mon Yellow: Special Pikachu Edition,GB,1998,Role-Playing,Nintendo,5.89,5.04,3.12,0.59,14.64,90s,ELSE,0,0,0,0,0,0,0,0,0,0,0,0,5890000,5040000,3120000,590000,14640000,Role-Playing,8750000
32,Call of Duty: Black Ops,X360,2010,Shooter,Activision,9.67,3.73,0.11,1.13,14.64,10s,Call of Duty,0,0,0,0,1,0,0,0,0,0,14.64,0,9670000,3730000,110000,1130000,14640000,Shooter,4970000
33,Pokemon X/Pokemon Y,3DS,2013,Role-Playing,Nintendo,5.17,4.05,4.34,0.79,14.35,10s,Pokemon,0,0,0,1,0,0,0,0,0,14.35,0,0,5170000,4050000,4340000,790000,14350000,Role-Playing,9180000
34,Call of Duty: Black Ops 3,PS4,2015,Shooter,Activision,5.77,5.81,0.35,2.31,14.24,10s,Call of Duty,0,0,0,0,1,0,0,0,0,0,14.24,0,5770000,5810000,350000,2310000,14240000,Shooter,8470000
35,Call of Duty: Black Ops II,PS3,2012,Shooter,Activision,4.99,5.88,0.65,2.52,14.03,10s,Call of Duty,0,0,0,0,1,0,0,0,0,0,14.03,0,4990000,5880000,650000,2520000,14030000,Shooter,9040000
